Logical address: 39338		 Physical address: 55722		 value: 38
Logical address: 1390		 Physical address: 51566		 value: 1
Logical address: 38772		 Physical address: 46964		 value: 0
Logical address: 58149		 Physical address: 34085		 value: 0
Logical address: 7196		 Physical address: 43036		 value: 0
Logical address: 9123		 Physical address: 48291		 value: -24
Logical address: 7491		 Physical address: 6211		 value: 80
Logical address: 62616		 Physical address: 408		 value: 0
Logical address: 15436		 Physical address: 31820		 value: 0
Logical address: 17491		 Physical address: 41043		 value: 20
Logical address: 53656		 Physical address: 920		 value: 0
Logical address: 26449		 Physical address: 24401		 value: 0
Logical address: 34935		 Physical address: 26743		 value: 29
Logical address: 19864		 Physical address: 36504		 value: 0
Logical address: 51388		 Physical address: 32700		 value: 0
Logical address: 15155		 Physical address: 32307		 value: -52
Logical address: 64775		 Physical address: 2055		 value: 65
Logical address: 47969		 Physical address: 25697		 value: 0
Logical address: 16315		 Physical address: 55995		 value: -18
Logical address: 1342		 Physical address: 51518		 value: 1
Logical address: 51185		 Physical address: 42993		 value: 0
Logical address: 6043		 Physical address: 9371		 value: -26
Logical address: 21398		 Physical address: 9110		 value: 20
Logical address: 3273		 Physical address: 40393		 value: 0
Logical address: 9370		 Physical address: 22938		 value: 9
Logical address: 35463		 Physical address: 56199		 value: -95
Logical address: 28205		 Physical address: 34861		 value: 0
Logical address: 2351		 Physical address: 4655		 value: 75
Logical address: 28999		 Physical address: 16455		 value: 81
Logical address: 47699		 Physical address: 56403		 value: -108
Logical address: 46870		 Physical address: 19734		 value: 45
Logical address: 22311		 Physical address: 11303		 value: -55
Logical address: 22124		 Physical address: 56684		 value: 0
Logical address: 22427		 Physical address: 11419		 value: -26
Logical address: 49344		 Physical address: 8640		 value: 0
Logical address: 23224		 Physical address: 36024		 value: 0
Logical address: 5514		 Physical address: 21642		 value: 5
Logical address: 20504		 Physical address: 56856		 value: 0
Logical address: 376		 Physical address: 57208		 value: 0
Logical address: 2014		 Physical address: 33246		 value: 1
Logical address: 38700		 Physical address: 46892		 value: 0
Logical address: 13098		 Physical address: 44330		 value: 12
Logical address: 62435		 Physical address: 24035		 value: -8
Logical address: 48046		 Physical address: 25774		 value: 46
